file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000;82
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit/qiskit.circuit.library.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;phase_estimation;1.0000;93
Qualtran/qualtran/bloqs/phase_estimation/phase_estimation_of_quantum_walk.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);name;phase_estimation;1.0000;93
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/pennylane/pennylane.templates.subroutines.qpe.QuantumPhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6578;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.ae.AmplitudeEstimation;Quantum Amplitude Estimation;summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6692;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.7101;0
Qualtran/qualtran/bloqs/phase_estimation/text_book_qpe.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Textbook Quantum Phase Estimation In[ ]: `TextbookQPE` Phase Estimation algorithm as presented in Chapter 5.2 of Ne...;0.6800;0
Qualtran/qualtran/bloqs/reflections/reflections.py;/classiq/open_library.functions.grover.reflect_about_zero;Amplitude Amplification;name;reflection_around_zero;0.9078;75
Qualtran/qualtran/cirq_interop/cirq_interop.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;293
Qualtran/qualtran/cirq_interop/t_complexity.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;41
Qualtran/qualtran/resource_counting/call_graph.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;34
Qualtran/qualtran/simulation/MBUC.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;20
Qualtran/qualtran/simulation/tensor.py;/qiskit/qiskit.circuit.library.boolean_logic.quantum_and.AND;Quantum Logical Operators;name;And;1.0000;35
Qualtran/qualtran/surface_code/msft_resource_estimator_interop.py;/pennylane/pennylane.templates.subroutines.arithmetic.mod_exp.ModExp;Quantum Arithmetic;name;ModExp;1.0000;19
ReCirq/docs/qaoa/binary_paintshop.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutation;1.0000;65
ReCirq/docs/qaoa/routing_with_tket.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.PermutationGate;Circuit Construction Utility;name;LinearPermutationGate;0.9042;261
amazon-braket-algorithm-library/notebooks/textbook/Grovers_Search.py;/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.grover.Grover;Grover;summary;!/usr/bin/env python coding: utf-8 Grover's Search Algorithm Grover's algorithm is arguably one of the canonical quantum algorithms that kick-started ...;0.6771;0
amazon-braket-algorithm-library/notebooks/textbook/Grovers_Search.py;/classiq/open_library.functions.grover.grover_search;Grover;name;grovers_search;0.9825;46
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Approximate_Optimization_Algorithm.py;/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.qaoa.QAOA;Quantum Approximate Optimization Algorithm (QAOA);name;qaoa;1.0000;41
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000;55
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Fourier_Transform.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000;55
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Fourier_Transform.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000;55
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Phase_Estimation_Algorithm.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.6571;0
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Phase_Estimation_Algorithm.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.6787;0
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Phase_Estimation_Algorithm.py;/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.6600;0
amazon-braket-algorithm-library/notebooks/textbook/Quantum_Phase_Estimation_Algorithm.py;/pennylane/pennylane.templates.subroutines.qpe.QuantumPhaseEstimation;Quantum Phase Estimation (QPE);name;run_quantum_phase_estimation;0.9428;90
catalyst/demos/qml/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.embeddings.basis.BasisEmbedding;Data Encoding;name;BasisEmbedding;1.0000;145
catalyst/demos/qml/tutorial_qft_arithmetics.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;217
catalyst/demos/qml/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;217
catalyst/demos/qml/tutorial_qft_arithmetics.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;217
catalyst/demos/qml/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.flip_sign.FlipSign;Phase Shift;name;FlipSign;1.0000;450
catalyst/demos/qml/tutorial_qft_arithmetics.py;/classiq/open_library.functions.grover.grover_operator;Amplitude Amplification;name;GroverOperator;1.0000;456
catalyst/demos/qml/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.subroutines.grover.GroverOperator;Grover;name;GroverOperator;1.0000;456
catalyst/demos/qml/tutorial_qft_arithmetics.py;/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;Grover;name;GroverOperator;1.0000;456
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/classiq/open_library.functions.lcu.lcu_pauli;Linear Combination of Unitaries;name;lcu_pauli;1.0000;85
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/classiq/open_library.functions.grover.grover_operator;Amplitude Amplification;name;grover_operator;1.0000;145
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/pennylane/pennylane.templates.subroutines.grover.GroverOperator;Grover;name;grover_operator;1.0000;145
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;Grover;name;grover_operator;1.0000;145
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/classiq/open_library.functions.grover.phase_oracle;Oracle;name;phase_oracle;1.0000;146
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracle;Oracle;name;phase_oracle;1.0000;146
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;/classiq/open_library.functions.linear_pauli_rotation.linear_pauli_rotations;Data Encoding;name;linear_pauli_rotations;1.0000;115
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;/classiq/open_library.functions.grover.grover_operator;Amplitude Amplification;name;my_grover_operator;0.9673;227
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;/pennylane/pennylane.templates.subroutines.grover.GroverOperator;Grover;name;my_grover_operator;0.9673;227
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;Grover;name;my_grover_operator;0.9673;227
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;qpe;1.0000;262
classiq-library/algorithms/amplitude_amplification_and_estimation/qsvt_fixed_point_amplitude_amplification/qsvt_fixed_point_amplitude_amplification.py;/classiq/open_library.functions.qsvt.qsvt;Domain Specific Application;name;qsvt;1.0000;106
classiq-library/algorithms/amplitude_amplification_and_estimation/qsvt_fixed_point_amplitude_amplification/qsvt_fixed_point_amplitude_amplification.py;/pennylane/pennylane.templates.subroutines.qsvt.QSVT;Domain Specific Application;name;qsvt;1.0000;106
classiq-library/algorithms/amplitude_amplification_and_estimation/qsvt_fixed_point_amplitude_amplification/qsvt_fixed_point_amplitude_amplification.py;/classiq/open_library.functions.utility_functions.hadamard_transform;Basis Change;name;hadamard_transform;1.0000;148
classiq-library/algorithms/amplitude_amplification_and_estimation/quantum_counting/quantum_counting.py;/classiq/open_library.functions.grover.phase_oracle;Oracle;name;phase_oracle;1.0000;88
classiq-library/algorithms/amplitude_amplification_and_estimation/quantum_counting/quantum_counting.py;/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracle;Oracle;name;phase_oracle;1.0000;88
classiq-library/algorithms/amplitude_amplification_and_estimation/quantum_counting/quantum_counting.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;qpe;1.0000;134
