file_path;pattern_sequence
classiq-library/algorithms/number_theory_and_cryptography/hidden_shift/hidden_shift.py;Oracle -> Basis Change
classiq-library/algorithms/number_theory_and_cryptography/elliptic_curves/elliptic_curve_discrete_log.py;Basis Change -> Quantum Arithmetic
classiq-library/algorithms/qml/quantum_autoencoder/quantum_autoencoder.py;SWAP Test
classiq-library/algorithms/qml/hybrid_qnn/hybrid_qnn_for_subset_majority.py;Data Encoding -> Quantum Neural Network (QNN)
classiq-library/algorithms/qml/qsvm/qsvm.py;Basis Change
classiq-library/algorithms/quantum_linear_solvers/qsvt_matrix_inversion/qsvt_matrix_inversion.py;Domain Specific Application
classiq-library/algorithms/quantum_linear_solvers/vqls/vqls_with_lcu.py;Circuit Construction Utility -> Linear Combination of Unitaries
classiq-library/algorithms/quantum_linear_solvers/adiabatic_linear_solvers/solving_qlsp_with_aqc.py;Hamiltonian Simulation
classiq-library/algorithms/quantum_linear_solvers/hhl/hhl.py;Hamiltonian Simulation -> Quantum Phase Estimation (QPE) -> Domain Specific Application
classiq-library/algorithms/foundational/simon/simon.py;Basis Change
classiq-library/algorithms/foundational/bernstein_vazirani/bernstein_vazirani.py;Basis Change
classiq-library/algorithms/foundational/deutsch_jozsa/deutsch_jozsa.py;Oracle -> Basis Change -> Quantum Arithmetic
classiq-library/algorithms/hamiltonian_simulation/hamiltonian_simulation_with_block_encoding/hamiltonian_simulation_with_block_encoding.py;Linear Combination of Unitaries -> Domain Specific Application -> Basis Change
classiq-library/algorithms/hamiltonian_simulation/hamiltonian_simulation_guide/hamiltonian_simulation_guide.py;Hamiltonian Simulation
classiq-library/algorithms/quantum_primitives/hadamard_test/hadamard_test.py;Basis Change
classiq-library/algorithms/quantum_primitives/gqsp/gqsp.py;Basis Change -> Domain Specific Application -> Quantum Phase Estimation (QPE) -> Quantum Arithmetic
classiq-library/algorithms/quantum_primitives/swap_test/swap_test.py;SWAP Test
classiq-library/algorithms/amplitude_amplification_and_estimation/qsvt_fixed_point_amplitude_amplification/qsvt_fixed_point_amplitude_amplification.py;Basis Change -> Domain Specific Application -> Amplitude Amplification
classiq-library/algorithms/amplitude_amplification_and_estimation/qmc_user_defined/qmc_user_defined.py;Amplitude Amplification -> Data Encoding -> Quantum Phase Estimation (QPE) -> Domain Specific Application
classiq-library/algorithms/amplitude_amplification_and_estimation/oblivious_amplitude_amplification/oblivious_amplitude_amplification.py;Oracle -> Linear Combination of Unitaries -> Amplitude Amplification
classiq-library/algorithms/amplitude_amplification_and_estimation/quantum_counting/quantum_counting.py;Oracle -> Basis Change -> Amplitude Amplification -> Quantum Phase Estimation (QPE)
classiq-library/algorithms/search_and_optimization/qaoa/qaoa.py;Circuit Construction Utility -> Basis Change -> Quantum Approximate Optimization Algorithm (QAOA)
classiq-library/algorithms/search_and_optimization/grover/grover.py;Oracle -> Basis Change -> Amplitude Amplification -> Grover
classiq-library/algorithms/search_and_optimization/dqi/dqi_max_xorsat.py;Initialization -> Basis Change
classiq-library/algorithms/search_and_optimization/grover_mixer_qaoa/gm_qaoa.py;Circuit Construction Utility -> Initialization -> Basis Change
classiq-library/functions/qmod_library_reference/classiq_open_library/grover_operator/grover_operator.py;Oracle -> Basis Change -> Amplitude Amplification -> Grover
classiq-library/functions/qmod_library_reference/classiq_open_library/amplitude_amplification/exact_amplitude_amplification.py;Amplitude Amplification
classiq-library/functions/qmod_library_reference/classiq_open_library/qft/qft.py;Basis Change
classiq-library/functions/qmod_library_reference/classiq_open_library/qct_qst/qct_qst.py;Basis Change
classiq-library/functions/qmod_library_reference/classiq_open_library/qpe/qpe.py;Hamiltonian Simulation -> Basis Change -> Quantum Phase Estimation (QPE)
classiq-library/functions/qmod_library_reference/classiq_open_library/linear_pauli_rotations/linear_pauli_rotations.py;Data Encoding -> Circuit Construction Utility
classiq-library/functions/qmod_library_reference/classiq_open_library/special_state_preparations/prepare_bell_state.py;Creating Entanglement
classiq-library/functions/qmod_library_reference/classiq_open_library/special_state_preparations/prepare_partial_uniform_state.py;Initialization
classiq-library/functions/qmod_library_reference/classiq_open_library/special_state_preparations/prepare_exponential_state.py;Initialization
classiq-library/functions/qmod_library_reference/classiq_open_library/special_state_preparations/prepare_ghz_state.py;Creating Entanglement
classiq-library/functions/qmod_library_reference/classiq_open_library/hadamard_transform/hadamard_transform.py;Basis Change
